"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Labor","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year","Date","Cost of Goods Sold","Fixed Overhead Costs","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year","Date","Lease","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","Longlines","Spec.equip","Ownership"
"1120",250000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,47360,24790,30400,600,102550,10,2035,102550,153299.28,255849.28,2951629.83,146545,120.32,4.74,42.51,0.09,10.67,1.75,2.88,18.63,30.7,10,Aug 2035,1845.72201571795,6000,1200,60000,45000,39253.5604166667,153299.282432385,185,423589.7125,7,"Drill (Dremel)","Sole Ownership"
"1121",260000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,49760,25996,31840,600,107596,10,2035,107596,154728,262324,3020418.53,152407,120.32,4.74,42.51,0.09,10.67,1.72,2.83,18.37,30.21,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,40418.6068333333,154728.003422725,194,433580.733,8,"Drill (Dremel)","Sole Ownership"
"1122",270000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,51040,26532,32480,600,110052,10,2035,110052,155432.62,265484.62,3049290.2,158269,120.32,4.74,42.51,0.09,10.67,1.68,2.75,17.9,29.37,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,41123.2199166667,155432.616506059,198,436620.486833333,8,"Drill (Dremel)","Sole Ownership"
"1123",280000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,53440,27604,33760,600,114804,10,2035,114804,156134.43,270938.43,3100449.07,164131,120.32,4.74,42.51,0.09,10.67,1.65,2.7,17.61,28.8,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,41825.033,156134.429589392,206,439632.240666667,8,"Drill (Dremel)","Sole Ownership"
"1124",290000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,55520,29212,35680,600,120412,10,2035,120412,156835.61,277247.61,3158040.82,169993,120.32,4.74,42.51,0.09,10.67,1.63,2.65,17.4,28.32,10,Aug 2035,2109.39658939194,6000,1200,60000,45000,42526.21275,156835.609339392,218,442651.261166667,8,"Drill (Dremel)","Sole Ownership"
"1125",300000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,57920,30284,36960,600,125164,10,2035,125164,158267.76,283431.76,3224233.44,175854,120.32,4.74,42.51,0.09,10.67,1.61,2.62,17.2,27.95,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,43694.6925,158267.763663066,226,452663.015,9,"Drill (Dremel)","Sole Ownership"
"1126",310000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,59360,31088,37920,600,128368,10,2035,128368,158972.38,287340.38,3260745.11,181716,120.32,4.74,42.51,0.09,10.67,1.58,2.56,16.87,27.35,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,44399.3055833333,158972.376746399,232,455702.768833333,9,"Drill (Dremel)","Sole Ownership"
"1127",320000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,60800,31758,38720,600,131278,10,2035,131278,159670.76,290948.76,3293594.06,187578,120.32,4.74,42.51,0.09,10.67,1.55,2.51,16.55,26.77,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,45097.6853333333,159670.756496399,237,458693.789333333,9,"Drill (Dremel)","Sole Ownership"
"1128",330000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,63200,32830,40000,600,136030,10,2035,136030,160375.37,296405.37,3344811.73,193440,120.32,4.74,42.51,0.09,10.67,1.53,2.47,16.35,26.36,10,Aug 2035,2373.07116306594,6000,1200,60000,45000,45802.2984166667,160375.369579733,245,461733.543166667,9,"Drill (Dremel)","Sole Ownership"
"1129",340000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,64480,33634,40960,600,139074,10,2035,139074,161807.52,300881.52,3395126.35,199302,120.32,4.74,42.51,0.09,10.67,1.51,2.43,16.11,25.97,10,Aug 2035,2636.74573673993,6000,1200,60000,45000,46970.7781666667,161807.523903407,251,471745.297,10,"Drill (Dremel)","Sole Ownership"
"1130",350000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,66880,34706,42240,600,143826,10,2035,143826,162512.14,306338.14,3446344.02,205164,120.32,4.74,42.51,0.09,10.67,1.49,2.4,15.93,25.61,10,Aug 2035,2636.74573673993,6000,1200,60000,45000,47675.39125,162512.13698674,259,474785.050833333,10,"Drill (Dremel)","Sole Ownership"
"1131",360000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,68160,35376,43040,600,146576,10,2035,146576,163210.52,309786.52,3477752.97,211025,120.32,4.74,42.51,0.09,10.67,1.47,2.35,15.66,25.12,10,Aug 2035,2636.74573673993,6000,1200,60000,45000,48373.771,163210.51673674,264,477776.071333333,10,"Drill (Dremel)","Sole Ownership"
"1132",370000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,70560,36448,44320,600,151328,10,2035,151328,164645.47,315973.47,3544004.4,216887,120.32,4.74,42.51,0.09,10.67,1.46,2.33,15.55,24.91,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,49545.05075,164645.471060414,272,487815.825166667,11,"Drill (Dremel)","Sole Ownership"
"1133",380000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,71840,36984,44960,600,153784,10,2035,153784,165347.28,319131.28,3572817.26,222749,120.32,4.74,42.51,0.09,10.67,1.43,2.29,15.29,24.45,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,50246.8638333333,165347.284143747,276,490827.579,11,"Drill (Dremel)","Sole Ownership"
"1134",390000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,75040,39128,47520,600,161688,10,2035,161688,166048.46,327736.46,3652755.02,228611,120.32,4.74,42.51,0.09,10.67,1.43,2.28,15.3,24.36,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,50948.0435833333,166048.463893747,292,493846.5995,11,"Drill (Dremel)","Sole Ownership"
"1135",400000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,76480,39798,48320,600,164598,10,2035,164598,166750.28,331348.28,3685653.88,234473,120.32,4.74,42.51,0.09,10.67,1.41,2.25,15.08,23.96,10,Aug 2035,2900.42031041392,6000,1200,60000,45000,51649.8566666667,166750.276977081,297,496858.353333333,11,"Drill (Dremel)","Sole Ownership"
"1136",410000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,77920,40602,49280,600,167802,10,2035,167802,168185.23,335987.23,3737199.31,240334,120.32,4.74,42.51,0.09,10.67,1.4,2.22,14.92,23.7,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,52821.1364166667,168185.231300755,303,506898.107166667,12,"Drill (Dremel)","Sole Ownership"
"1137",420000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,80320,41674,50560,600,172554,10,2035,172554,168883.61,341437.61,3788308.26,246196,120.32,4.74,42.51,0.09,10.67,1.39,2.2,14.8,23.46,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,53519.5161666667,168883.611050755,311,509889.127666667,12,"Drill (Dremel)","Sole Ownership"
"1138",430000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,81600,42210,51200,600,175010,10,2035,175010,169588.22,344598.22,3817179.92,252058,120.32,4.74,42.51,0.09,10.67,1.37,2.16,14.59,23.09,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,54224.12925,169588.224134088,315,512928.8815,12,"Drill (Dremel)","Sole Ownership"
"1139",440000,"Y4","Fall","Ear Hanging",31.6409488408792,10,Aug 2035,0,83520,43416,52640,600,179576,10,2035,179576,170290.04,349866.04,3869388.79,257920,120.32,4.74,42.51,0.09,10.67,1.36,2.14,14.47,22.87,10,Aug 2035,3164.09488408792,6000,1200,60000,45000,54925.9423333333,170290.037217421,324,515940.635333333,12,"Drill (Dremel)","Sole Ownership"
"1140",450000,"Y4","Fall","Ear Hanging",34.2776945776191,10,Aug 2035,0,84800,43952,53280,600,182032,10,2035,182032,171721.56,353753.56,3913244.3,263782,120.32,4.74,42.51,0.09,10.67,1.34,2.12,14.31,22.61,10,Aug 2035,3427.76945776191,6000,1200,60000,45000,56093.78875,171721.558207762,328,525959.655833333,13,"Drill (Dremel)","Sole Ownership"
"1141",460000,"Y4","Fall","Ear Hanging",34.2776945776191,10,Aug 2035,0,87200,45024,54560,600,186784,10,2035,186784,172423.37,359207.37,3964403.17,269644,120.32,4.74,42.51,0.09,10.67,1.33,2.1,14.22,22.41,10,Aug 2035,3427.76945776191,6000,1200,60000,45000,56795.6018333333,172423.371291095,336,528971.409666667,13,"Drill (Dremel)","Sole Ownership"
"1142",470000,"Y4","Fall","Ear Hanging",34.2776945776191,10,Aug 2035,0,88480,45694,55360,600,189534,10,2035,189534,173127.98,362661.98,3995920.83,275505,120.32,4.74,42.51,0.09,10.67,1.32,2.07,14.05,22.11,10,Aug 2035,3427.76945776191,6000,1200,60000,45000,57500.2149166667,173127.984374429,341,532011.1635,13,"Drill (Dremel)","Sole Ownership"
"1143",480000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,90720,47034,56960,600,194714,10,2035,194714,174556.71,369270.71,4062871.54,281367,120.32,4.74,42.51,0.09,10.67,1.31,2.06,14,22.01,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,58665.2613333333,174556.705364769,351,542002.184,14,"Drill (Dremel)","Sole Ownership"
"1144",490000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,93120,48508,58720,600,200348,10,2035,200348,175261.32,375609.32,4123791.21,287229,120.32,4.74,42.51,0.09,10.67,1.31,2.05,13.95,21.89,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,59369.8744166667,175261.318448103,362,545041.937833333,14,"Drill (Dremel)","Sole Ownership"
"1145",500000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,94400,49044,59360,600,202804,10,2035,202804,175963.13,378767.13,4152604.08,293091,120.32,4.74,42.51,0.09,10.67,1.29,2.02,13.79,21.6,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,60071.6875,175963.131531436,366,548053.691666667,14,"Drill (Dremel)","Sole Ownership"
"1146",510000,"Y4","Fall","Ear Hanging",36.914440314359,10,Aug 2035,0,96960,50250,60800,600,208010,10,2035,208010,176667.74,384677.74,4208815.74,298953,120.32,4.74,42.51,0.09,10.67,1.29,2.01,13.73,21.46,10,Aug 2035,3691.4440314359,6000,1200,60000,45000,60776.3005833333,176667.744614769,375,551093.4455,14,"Drill (Dremel)","Sole Ownership"
"1147",520000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,98240,50920,61600,600,210760,10,2035,210760,178096.47,388856.47,4255258.45,304814,120.32,4.74,42.51,0.09,10.67,1.28,1.99,13.61,21.28,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,61941.347,178096.46560511,380,561084.466,15,"Drill (Dremel)","Sole Ownership"
"1148",530000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,100640,52260,63200,600,216100,10,2035,216100,178801.08,394901.08,4312944.12,310676,120.32,4.74,42.51,0.09,10.67,1.27,1.98,13.56,21.16,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,62645.9600833333,178801.078688443,390,564124.219833333,15,"Drill (Dremel)","Sole Ownership"
"1149",540000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,101920,52796,63840,600,218556,10,2035,218556,179502.89,398058.89,4341756.99,316538,120.32,4.74,42.51,0.09,10.67,1.26,1.96,13.42,20.91,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,63347.7731666667,179502.891771777,394,567135.973666667,15,"Drill (Dremel)","Sole Ownership"
"1150",550000,"Y4","Fall","Ear Hanging",39.5511860510989,10,Aug 2035,0,104320,53868,65120,600,223308,10,2035,223308,180204.07,403512.07,4392924.74,322400,120.32,4.74,42.51,0.09,10.67,1.25,1.95,13.36,20.77,10,Aug 2035,3955.11860510989,6000,1200,60000,45000,64048.9529166667,180204.071521777,402,570154.994166667,15,"Drill (Dremel)","Sole Ownership"
"1151",560000,"Y4","Fall","Ear Hanging",42.1879317878389,10,Aug 2035,0,105760,54538,65920,600,226218,10,2035,226218,181636.23,407854.23,4440857.36,328262,120.32,4.74,42.51,0.09,10.67,1.24,1.93,13.26,20.62,10,Aug 2035,4218.79317878389,6000,1200,60000,45000,65217.4326666667,181636.225845451,407,580166.748,16,"Drill (Dremel)","Sole Ownership"
"1152",570000,"Y4","Fall","Ear Hanging",42.1879317878389,10,Aug 2035,0,107040,55208,66720,600,228968,10,2035,228968,182340.84,411308.84,4472375.03,334124,120.32,4.74,42.51,0.09,10.67,1.23,1.91,13.14,20.4,10,Aug 2035,4218.79317878389,6000,1200,60000,45000,65922.04575,182340.838928784,412,583206.501833333,16,"Drill (Dremel)","Sole Ownership"
"1153",580000,"Y4","Fall","Ear Hanging",42.1879317878389,10,Aug 2035,0,110240,57352,69280,600,236872,10,2035,236872,183039.22,419911.22,4552253.98,339985,120.32,4.74,42.51,0.09,10.67,1.24,1.91,13.18,20.41,10,Aug 2035,4218.79317878389,6000,1200,60000,45000,66620.4255,183039.218678784,428,586197.522333333,16,"Drill (Dremel)","Sole Ownership"
"1154",590000,"Y4","Fall","Ear Hanging",44.8246775245788,10,Aug 2035,0,111520,57888,69920,600,239328,10,2035,239328,184474.17,423802.17,4596159.4,345847,120.32,4.74,42.51,0.09,10.67,1.23,1.9,13.08,20.26,10,Aug 2035,4482.46775245788,6000,1200,60000,45000,67791.70525,184474.173002458,432,596237.276166667,17,"Drill (Dremel)","Sole Ownership"
"1155",600000,"Y4","Fall","Ear Hanging",44.8246775245788,10,Aug 2035,0,113920,58960,71200,600,244080,10,2035,244080,185175.99,429255.99,4647318.27,351709,120.32,4.74,42.51,0.09,10.67,1.22,1.89,13.02,20.14,10,Aug 2035,4482.46775245788,6000,1200,60000,45000,68493.5183333333,185175.986085791,440,599249.03,17,"Drill (Dremel)","Sole Ownership"
"1156",50000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,11680,5092,6880,600,23652,10,2035,23652,136744.25,160396.25,2043910.2,29309,120.32,4.74,42.51,0.09,10.67,5.47,9.96,58.4,106.31,10,Aug 2035,527.349147347986,6000,1200,60000,45000,24016.89875,136744.247897348,38,349909.035833333,2,"Drill (Automated)","Sole Ownership"
"1157",60000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,12640,5494,7360,600,25494,10,2035,25494,137448.86,162942.86,2067255.87,35171,120.32,4.74,42.51,0.09,10.67,4.63,8.4,49.44,89.6,10,Aug 2035,527.349147347986,6000,1200,60000,45000,24721.5118333333,137448.860980681,41,352948.789666667,2,"Drill (Automated)","Sole Ownership"
"1158",70000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,15360,6432,8480,600,30272,10,2035,30272,138147.24,168419.24,2118598.82,41033,120.32,4.74,42.51,0.09,10.67,4.1,7.38,43.8,78.71,10,Aug 2035,527.349147347986,6000,1200,60000,45000,25419.8915833333,138147.240730681,48,355939.810166667,2,"Drill (Automated)","Sole Ownership"
"1159",80000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,16960,6834,8960,600,32754,10,2035,32754,139579.4,172333.4,2162679.44,46895,120.32,4.74,42.51,0.09,10.67,3.67,6.59,39.21,70.3,10,Aug 2035,791.023721021979,6000,1200,60000,45000,26588.3713333333,139579.395054355,51,365951.564,3,"Drill (Automated)","Sole Ownership"
"1160",90000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,17920,7102,9280,600,34302,10,2035,34302,140284.01,174586.01,2183379.11,52756,120.32,4.74,42.51,0.09,10.67,3.31,5.91,35.31,63.09,10,Aug 2035,791.023721021979,6000,1200,60000,45000,27292.9844166667,140284.008137689,53,368991.317833333,3,"Drill (Automated)","Sole Ownership"
"1161",100000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,21440,9112,11680,600,42232,10,2035,42232,140982.39,183214.39,2263492.06,58618,120.32,4.74,42.51,0.09,10.67,3.13,5.52,33.35,58.86,10,Aug 2035,791.023721021979,6000,1200,60000,45000,27991.3641666667,140982.387887689,68,371982.338333333,3,"Drill (Automated)","Sole Ownership"
"1162",110000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,23200,9782,12480,600,45462,10,2035,45462,141687,187149,2300237.73,64480,120.32,4.74,42.51,0.09,10.67,2.9,5.1,30.97,54.38,10,Aug 2035,791.023721021979,6000,1200,60000,45000,28695.97725,141687.000971022,73,375022.092166667,3,"Drill (Automated)","Sole Ownership"
"1163",120000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,25280,10586,13440,600,49306,10,2035,49306,143119.16,192425.16,2358258.35,70342,120.32,4.74,42.51,0.09,10.67,2.74,4.79,29.19,51.11,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,29864.457,143119.155294696,79,385033.846,4,"Drill (Automated)","Sole Ownership"
"1164",130000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,26880,10988,13920,600,51788,10,2035,51788,143820.34,195608.34,2387314.1,76204,120.32,4.74,42.51,0.09,10.67,2.57,4.48,27.39,47.76,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,30565.63675,143820.335044696,82,388052.8665,4,"Drill (Automated)","Sole Ownership"
"1165",140000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,28960,11792,14880,600,55632,10,2035,55632,144522.15,200154.15,2430300.97,82065,120.32,4.74,42.51,0.09,10.67,2.44,4.23,26.03,45.14,10,Aug 2035,1054.69829469597,6000,1200,60000,45000,31267.4498333333,144522.148128029,88,391064.620333333,4,"Drill (Automated)","Sole Ownership"
"1166",150000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,30560,12462,15680,600,58702,10,2035,58702,145957.1,204659.1,2480908.39,87927,120.32,4.74,42.51,0.09,10.67,2.33,4.03,24.84,43.01,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,32438.7295833333,145957.102451703,93,401104.374166667,5,"Drill (Automated)","Sole Ownership"
"1167",160000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,32160,12998,16320,600,61478,10,2035,61478,146655.48,208133.48,2512551.34,93789,120.32,4.74,42.51,0.09,10.67,2.22,3.83,23.68,40.84,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,33137.1093333333,146655.482201703,97,404095.394666667,5,"Drill (Automated)","Sole Ownership"
"1168",170000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,34240,13802,17280,600,65322,10,2035,65322,147360.1,212682.1,2555597.01,99651,120.32,4.74,42.51,0.09,10.67,2.13,3.66,22.77,39.09,10,Aug 2035,1318.37286836996,6000,1200,60000,45000,33841.7224166667,147360.095285037,103,407135.1485,5,"Drill (Automated)","Sole Ownership"
