"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year.1","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year.2","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","Longlines"
"1146",50000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,5092,6880,600,23652,10,160396.25,2043910.2,29309,120.32,4.74,42.51,0.09,10.67,5.47,9.96,58.4,106.31,10,6000,1200,60000,45000,24016.89875,136744.247897348,38,349909.035833333,2
"1147",60000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,5494,7360,600,25494,10,162942.86,2067255.87,35171,120.32,4.74,42.51,0.09,10.67,4.63,8.4,49.44,89.6,10,6000,1200,60000,45000,24721.5118333333,137448.860980681,41,352948.789666667,2
"1148",70000,"Y4","Fall","Ear Hanging",5.27349147347986,10,Aug 2035,0,6432,8480,600,30272,10,168419.24,2118598.82,41033,120.32,4.74,42.51,0.09,10.67,4.1,7.38,43.8,78.71,10,6000,1200,60000,45000,25419.8915833333,138147.240730681,48,355939.810166667,2
"1149",80000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,6834,8960,600,32754,10,172333.4,2162679.44,46895,120.32,4.74,42.51,0.09,10.67,3.67,6.59,39.21,70.3,10,6000,1200,60000,45000,26588.3713333333,139579.395054355,51,365951.564,3
"1150",90000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,7102,9280,600,34302,10,174586.01,2183379.11,52756,120.32,4.74,42.51,0.09,10.67,3.31,5.91,35.31,63.09,10,6000,1200,60000,45000,27292.9844166667,140284.008137689,53,368991.317833333,3
"1151",100000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,9112,11680,600,42232,10,183214.39,2263492.06,58618,120.32,4.74,42.51,0.09,10.67,3.13,5.52,33.35,58.86,10,6000,1200,60000,45000,27991.3641666667,140982.387887689,68,371982.338333333,3
"1152",110000,"Y4","Fall","Ear Hanging",7.91023721021979,10,Aug 2035,0,9782,12480,600,45462,10,187149,2300237.73,64480,120.32,4.74,42.51,0.09,10.67,2.9,5.1,30.97,54.38,10,6000,1200,60000,45000,28695.97725,141687.000971022,73,375022.092166667,3
"1153",120000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,10586,13440,600,49306,10,192425.16,2358258.35,70342,120.32,4.74,42.51,0.09,10.67,2.74,4.79,29.19,51.11,10,6000,1200,60000,45000,29864.457,143119.155294696,79,385033.846,4
"1154",130000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,10988,13920,600,51788,10,195608.34,2387314.1,76204,120.32,4.74,42.51,0.09,10.67,2.57,4.48,27.39,47.76,10,6000,1200,60000,45000,30565.63675,143820.335044696,82,388052.8665,4
"1155",140000,"Y4","Fall","Ear Hanging",10.5469829469597,10,Aug 2035,0,11792,14880,600,55632,10,200154.15,2430300.97,82065,120.32,4.74,42.51,0.09,10.67,2.44,4.23,26.03,45.14,10,6000,1200,60000,45000,31267.4498333333,144522.148128029,88,391064.620333333,4
"1156",150000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,12462,15680,600,58702,10,204659.1,2480908.39,87927,120.32,4.74,42.51,0.09,10.67,2.33,4.03,24.84,43.01,10,6000,1200,60000,45000,32438.7295833333,145957.102451703,93,401104.374166667,5
"1157",160000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,12998,16320,600,61478,10,208133.48,2512551.34,93789,120.32,4.74,42.51,0.09,10.67,2.22,3.83,23.68,40.84,10,6000,1200,60000,45000,33137.1093333333,146655.482201703,97,404095.394666667,5
"1158",170000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,13802,17280,600,65322,10,212682.1,2555597.01,99651,120.32,4.74,42.51,0.09,10.67,2.13,3.66,22.77,39.09,10,6000,1200,60000,45000,33841.7224166667,147360.095285037,103,407135.1485,5
"1159",180000,"Y4","Fall","Ear Hanging",13.1837286836996,10,Aug 2035,0,14204,17760,600,67804,10,215865.91,2584643.88,105513,120.32,4.74,42.51,0.09,10.67,2.05,3.5,21.83,37.34,10,6000,1200,60000,45000,34543.5355,148061.90836837,106,410146.902333333,5
"1160",190000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,15142,18880,600,72582,10,222078.86,2651129.3,111375,120.32,4.74,42.51,0.09,10.67,1.99,3.4,21.28,36.29,10,6000,1200,60000,45000,35714.81525,149496.862692044,113,420186.656166667,6
"1161",200000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,16482,20480,600,77282,10,227477.24,2700490.25,117236,120.32,4.74,42.51,0.09,10.67,1.94,3.29,20.71,35.11,10,6000,1200,60000,45000,36413.195,150195.242442044,123,423177.676666667,6
"1162",210000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,17688,21920,600,82808,10,233707.86,2759581.92,123098,120.32,4.74,42.51,0.09,10.67,1.9,3.2,20.26,34.17,10,6000,1200,60000,45000,37117.8080833333,150899.855525377,132,426217.4305,6
"1163",220000,"Y4","Fall","Ear Hanging",15.8204744204396,10,Aug 2035,0,17956,22240,600,84516,10,236117.67,2783210.79,128960,120.32,4.74,42.51,0.09,10.67,1.83,3.08,19.54,32.9,10,6000,1200,60000,45000,37819.6211666667,151601.668608711,134,429229.184333333,6
"1164",230000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,18760,23200,600,88360,10,241393.19,2841240.29,134822,120.32,4.74,42.51,0.09,10.67,1.79,3.01,19.11,32.13,10,6000,1200,60000,45000,38987.4675833333,153033.189599051,140,439248.204833333,7
"1165",240000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,19162,23680,600,90842,10,244577,2870287.16,140684,120.32,4.74,42.51,0.09,10.67,1.74,2.91,18.55,31.1,10,6000,1200,60000,45000,39689.2806666667,153735.002682385,143,442259.958666667,7
"1166",250000,"Y4","Fall","Ear Hanging",18.4572201571795,10,Aug 2035,0,19698,24320,600,92978,10,247417.62,2897454.83,146545,120.32,4.74,42.51,0.09,10.67,1.69,2.82,18.02,30.14,10,6000,1200,60000,45000,40393.89375,154439.615765718,147,445299.7125,7
"1167",260000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,20770,25600,600,98050,10,253918.34,2966477.53,152407,120.32,4.74,42.51,0.09,10.67,1.67,2.78,17.78,29.67,10,6000,1200,60000,45000,41558.9401666667,155868.336756059,155,455290.733,8
"1168",270000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,21172,26080,600,100532,10,257104.95,2995583.2,158269,120.32,4.74,42.51,0.09,10.67,1.62,2.7,17.33,28.85,10,6000,1200,60000,45000,42263.55325,156572.949839392,158,458330.486833333,8
"1169",280000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,21976,27040,600,104376,10,261650.76,3038570.07,164131,120.32,4.74,42.51,0.09,10.67,1.59,2.64,17.01,28.22,10,6000,1200,60000,45000,42965.3663333333,157274.762922725,164,461342.240666667,8
"1170",290000,"Y4","Fall","Ear Hanging",21.0939658939194,10,Aug 2035,0,23450,28800,600,110010,10,267985.94,3096395.82,169993,120.32,4.74,42.51,0.09,10.67,1.58,2.6,16.82,27.77,10,6000,1200,60000,45000,43666.5460833333,157975.942672725,175,464361.261166667,8
"1171",300000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,24388,29920,600,114788,10,274196.1,3162822.44,175854,120.32,4.74,42.51,0.09,10.67,1.56,2.57,16.64,27.42,10,6000,1200,60000,45000,44835.0258333333,159408.096996399,182,474373.015,9
"1172",310000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,24924,30560,600,117084,10,277196.71,3191162.11,181716,120.32,4.74,42.51,0.09,10.67,1.53,2.51,16.28,26.77,10,6000,1200,60000,45000,45539.6389166667,160112.710079733,186,477412.768833333,9
"1173",320000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,25326,31040,600,119566,10,280377.09,3220159.06,187578,120.32,4.74,42.51,0.09,10.67,1.49,2.45,15.95,26.17,10,6000,1200,60000,45000,46238.0186666667,160811.089829733,189,480403.789333333,9
"1174",330000,"Y4","Fall","Ear Hanging",23.7307116306594,10,Aug 2035,0,26264,32160,600,124344,10,285859.7,3271610.73,193440,120.32,4.74,42.51,0.09,10.67,1.48,2.42,15.77,25.78,10,6000,1200,60000,45000,46942.63175,161515.702913066,196,483443.543166667,9
"1175",340000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,26800,32800,600,126480,10,289427.86,3313753.35,199302,120.32,4.74,42.51,0.09,10.67,1.45,2.38,15.5,25.35,10,6000,1200,60000,45000,48111.1115,162947.85723674,200,493455.297,10
"1176",350000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,27738,33920,600,131258,10,294910.47,3365205.02,205164,120.32,4.74,42.51,0.09,10.67,1.44,2.34,15.34,25,10,6000,1200,60000,45000,48815.7245833333,163652.470320073,207,496495.050833333,10
"1177",360000,"Y4","Fall","Ear Hanging",26.3674573673993,10,Aug 2035,0,28140,34400,600,133100,10,297450.85,3388441.97,211025,120.32,4.74,42.51,0.09,10.67,1.41,2.29,15.04,24.48,10,6000,1200,60000,45000,49514.1043333333,164350.850070073,210,499486.071333333,10
"1178",370000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,29078,35520,600,137878,10,303663.8,3454927.4,216887,120.32,4.74,42.51,0.09,10.67,1.4,2.28,14.94,24.28,10,6000,1200,60000,45000,50685.3840833333,165785.804393747,217,509525.825166667,11
"1179",380000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,29480,36000,600,140360,10,306847.62,3483974.26,222749,120.32,4.74,42.51,0.09,10.67,1.38,2.23,14.7,23.84,10,6000,1200,60000,45000,51387.1971666667,166487.617477081,220,512537.579,11
"1180",390000,"Y4","Fall","Ear Hanging",29.0042031041392,10,Aug 2035,0,31356,38240,600,147356,10,314544.8,3555740.02,228611,120.32,4.74,42.51,0.09,10.67,1.38,2.22,14.68,23.71,10,6000,1200,60000,45000,52088.3769166667,167188.797227081,234,515556.5995,11
"1192",50000,"Y3","Fall","Lantern Net",7.91023721021979,10,Aug 2035,0,6030,7800,600,27110,10,166155.17,2081863.82,33496,97.39,3.83,21.04,0.05,21.56,4.96,7.77,106.96,167.51,10,6000,1200,60000,45000,26054.1469270833,139045.170648105,45,328808.94625,3
"1193",60000,"Y3","Fall","Lantern Net",7.91023721021979,10,Aug 2035,0,6700,8600,600,30340,10,170910.09,2130796.76,40195,97.39,3.83,21.04,0.05,21.56,4.25,6.63,91.68,142.88,10,6000,1200,60000,45000,27579.0696458333,140570.093366855,50,336373.3355,3
"1194",70000,"Y3","Fall","Lantern Net",10.5469829469597,10,Aug 2035,0,7906,10040,600,35866,10,178691.36,2217109.45,46895,97.39,3.83,21.04,0.05,21.56,3.81,5.91,82.16,127.43,10,6000,1200,60000,45000,29570.65903125,142825.357325946,59,350937.72475,4
"1195",80000,"Y3","Fall","Lantern Net",10.5469829469597,10,Aug 2035,0,8576,10840,600,39096,10,183443.48,2265983.59,53594,97.39,3.83,21.04,0.05,21.56,3.42,5.29,73.8,113.96,10,6000,1200,60000,45000,31092.78175,144347.480044696,64,358474.114,4
"1196",90000,"Y3","Fall","Lantern Net",13.1837286836996,10,Aug 2035,0,9380,11800,600,43100,10,189702.74,2336142.29,60293,97.39,3.83,21.04,0.05,21.56,3.15,4.84,67.84,104.43,10,6000,1200,60000,45000,33084.3711354167,146602.744003787,70,373038.50325,5
"1197",100000,"Y3","Fall","Lantern Net",13.1837286836996,10,Aug 2035,0,10988,13720,600,49508,10,197635.67,2417123.22,66992,97.39,3.83,21.04,0.05,21.56,2.95,4.51,63.61,97.24,10,6000,1200,60000,45000,34609.2938541667,148127.666722537,82,380602.8925,5
"1198",110000,"Y3","Fall","Lantern Net",15.8204744204396,10,Aug 2035,0,11792,14680,600,53192,10,203574.93,2486083.92,73691,97.39,3.83,21.04,0.05,21.56,2.76,4.22,59.56,90.93,10,6000,1200,60000,45000,36600.8832395833,150382.930681627,88,395167.28175,6
"1199",120000,"Y3","Fall","Lantern Net",15.8204744204396,10,Aug 2035,0,12998,16120,600,58718,10,210625.85,2557362.86,80391,97.39,3.83,21.04,0.05,21.56,2.62,3.98,56.49,85.74,10,6000,1200,60000,45000,38125.8059583333,151907.853400377,97,402731.671,6
"11100",130000,"Y3","Fall","Lantern Net",15.8204744204396,10,Aug 2035,0,13802,17080,600,62722,10,216154.78,2612487.8,87090,97.39,3.83,21.04,0.05,21.56,2.48,3.75,53.52,80.85,10,6000,1200,60000,45000,39650.7286770833,153432.776119127,103,410296.06025,6
"11101",140000,"Y3","Fall","Lantern Net",18.4572201571795,10,Aug 2035,0,15008,18520,600,68248,10,223936.04,2698800.49,93789,97.39,3.83,21.04,0.05,21.56,2.39,3.6,51.48,77.56,10,6000,1200,60000,45000,41642.3180625,155688.040078218,112,424860.4495,7
"11102",150000,"Y3","Fall","Lantern Net",18.4572201571795,10,Aug 2035,0,15946,19640,600,72066,10,229278.96,2754201.43,100488,97.39,3.83,21.04,0.05,21.56,2.28,3.43,49.2,73.87,10,6000,1200,60000,45000,43167.24078125,157212.962796968,119,432424.83875,7
"11103",160000,"Y3","Fall","Lantern Net",21.0939658939194,10,Aug 2035,0,16616,20440,600,75296,10,234761.43,2818109.32,107188,97.39,3.83,21.04,0.05,21.56,2.19,3.29,47.22,70.86,10,6000,1200,60000,45000,45156.0301666667,159465.426756059,124,446961.228,8
"11104",170000,"Y3","Fall","Lantern Net",21.0939658939194,10,Aug 2035,0,17822,21880,600,80822,10,241812.35,2889388.26,113887,97.39,3.83,21.04,0.05,21.56,2.12,3.17,45.78,68.38,10,6000,1200,60000,45000,46680.9528854167,160990.349474809,133,454525.61725,8
"11105",180000,"Y3","Fall","Lantern Net",23.7307116306594,10,Aug 2035,0,18626,22840,600,84826,10,248071.61,2959546.95,120586,97.39,3.83,21.04,0.05,21.56,2.06,3.07,44.36,66.15,10,6000,1200,60000,45000,48672.5422708333,163245.613433899,139,469090.0065,9
"11106",190000,"Y3","Fall","Lantern Net",23.7307116306594,10,Aug 2035,0,19832,24280,600,90352,10,255122.54,3030825.89,127285,97.39,3.83,21.04,0.05,21.56,2,2.98,43.22,64.18,10,6000,1200,60000,45000,50197.4649895833,164770.536152649,148,476654.39575,9
"11107",200000,"Y3","Fall","Lantern Net",26.3674573673993,10,Aug 2035,0,20904,25560,600,94464,10,261489.8,3104494.58,133984,97.39,3.83,21.04,0.05,21.56,1.95,2.9,42.08,62.45,10,6000,1200,60000,45000,52189.054375,167025.80011174,156,491218.785,10
"11108",210000,"Y3","Fall","Lantern Net",26.3674573673993,10,Aug 2035,0,22244,27160,600,100444,10,268994.72,3180767.52,140684,97.39,3.83,21.04,0.05,21.56,1.91,2.83,41.23,60.94,10,6000,1200,60000,45000,53713.97709375,168550.72283049,166,498783.17425,10
"11109",220000,"Y3","Fall","Lantern Net",29.0042031041392,10,Aug 2035,0,23048,28120,600,104448,10,275253.99,3250926.21,147383,97.39,3.83,21.04,0.05,21.56,1.87,2.76,40.27,59.45,10,6000,1200,60000,45000,55705.5664791667,170805.986789581,172,513347.5635,11
"11110",230000,"Y3","Fall","Lantern Net",29.0042031041392,10,Aug 2035,0,24254,29560,600,109974,10,282302.11,3322146.35,154082,97.39,3.83,21.04,0.05,21.56,1.83,2.7,39.5,58.11,10,6000,1200,60000,45000,57227.6891979167,172328.109508331,181,520883.95275,11
"11111",240000,"Y3","Fall","Lantern Net",29.0042031041392,10,Aug 2035,0,24522,29880,600,111522,10,285375.03,3355941.29,160781,97.39,3.83,21.04,0.05,21.56,1.77,2.61,38.27,56.26,10,6000,1200,60000,45000,58752.6119166667,173853.032227081,183,528448.342,11
"11112",250000,"Y3","Fall","Lantern Net",31.6409488408792,10,Aug 2035,0,25460,31000,600,115340,10,291448.3,3426375.99,167480,97.39,3.83,21.04,0.05,21.56,1.74,2.56,37.52,55.14,10,6000,1200,60000,45000,60744.2013020833,176108.296186171,190,543012.73125,12
"11113",260000,"Y3","Fall","Lantern Net",31.6409488408792,10,Aug 2035,0,26800,32600,600,121640,10,299273.22,3503846.92,174180,97.39,3.83,21.04,0.05,21.56,1.72,2.51,37.05,54.22,10,6000,1200,60000,45000,62269.1240208333,177633.218904921,200,550577.1205,12
